Бренд и Юрлицо (!),Веб-сайт,ИНН,МOEX,Регион,"Устойчивое развитие, Социальная отчетность, ESG",Экология,"Забота о потребителях, защита прав потребителей ","Забота о работниках, социальные программы","Поставщикам, Закупки","Корпоративное управление, совет директоров, высший менеджмент","Миссия, ценности",Этический кодекс,Антикоррупция,Раскрытие информации,,Количесво ссылок
Адмиралтейские верфи,http://admship.ru/,7839395419,,СЗФО,нет,нет,нет,http://admship.ru/job/,http://admship.ru/purchase/,нет,http://admship.ru/about/corruption/,нет,http://admship.ru/about/corruption/,http://admship.ru/about/disclosure/,,5
Алмаз-Антей,http://www.almaz-antey.ru/,7731084175,,СЗФО,нет,нет,нет,http://www.almaz-antey.ru/kadrovaya-i-sotsialnaya-politika/,http://www.almaz-antey.ru/zakupochnaya-deyatelnost/,http://www.almaz-antey.ru/istoriya/,http://www.almaz-antey.ru/strategiya/,http://www.almaz-antey.ru/upload/corruption/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0_%D0%B8_%D0%B5%D0%B4%D0%B8%D0%BD%D1%8B%D0%B5_%D0%BF%D1%80%D0%B8%D0%BD%D1%86%D0%B8%D0%BF%D1%8B_%D0%BA%D0%BE%D1%80%D0%BF%D0%BE%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B3%D0%BE_%D0%BF%D0%BE%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F.pdf,http://www.almaz-antey.ru/anti-corruption/,нет,,7
Армалит,https://armalit.ru/,7805148130,,СЗФО,нет,нет,нет,https://armalit.ru/about/training-center/,нет,https://armalit.ru/about/management/,нет,нет,нет,https://armalit.ru/information-disclosure/,,3
Аттика ,https://attikarus.ru/ ,7806521932,,СЗФО,нет,нет,нет,нет,https://attikarus.ru/about/suppliers/,https://attikarus.ru/about/team/,https://attikarus.ru/about/history/,нет,https://attikarus.ru/anti-corruption-policy/,нет,,5
Балтийский завод,https://www.bz.ru/,7830001910,,СЗФО,нет,нет,нет,https://www.bz.ru/career/social-policy/,https://www.bz.ru/partners/purchases/,https://www.bz.ru/about/ceo/,нет,нет,https://www.bz.ru/protivodeystvie-korruptsii/,https://www.bz.ru/partners/disclosure-of-information/,,5
Бронка Групп,https://www.bronkagroup.ru/,7826136939,,СЗФО,нет,https://www.bronkagroup.ru/about/sotsialnaya-otvetsvennost/,нет,https://www.bronkagroup.ru/career/,нет,https://www.bronkagroup.ru/about/bod/,https://www.bronkagroup.ru/about/about-us/,нет,нет,нет,,5
Всеволожский крановый завод,https://werker.ru/,4703097593,,СЗФО,нет,нет,нет,https://werker.ru/about/vacancy/,нет,нет,https://werker.ru/about/,нет,нет,нет,,3
Гидроприбор,https://www.gidropribor.ru/,7802375889,,СЗФО,нет,нет,нет,https://www.gidropribor.ru/personal/korporativnaya-kultura/,https://www.gidropribor.ru/kontragents/zakupki/gidropribor-zakupki/,нет,нет,нет,https://www.gidropribor.ru/kontragents/antikorrupcionnaya-politika/,https://www.gidropribor.ru/kontragents/akcioneram/ao-kontsern-mpo-gidropribor/,,4
Гранит-Электрон,https://www.granit-electron.ru/,7842335610,,СЗФО,нет,нет,нет,https://www.granit-electron.ru/staff/corporate-employment-benefits/,https://www.granit-electron.ru/concern/general-questions/purchase/,нет,нет,нет,https://www.granit-electron.ru/concern/general-questions/documents/,нет,,4
Завод «Измерон»,https://www.izmeron.ru/,7825492691,,СЗФО,нет,нет,нет,нет,нет,https://www.izmeron.ru/company/supervisor/,нет,нет,нет,нет,,2
Императорский Фарфоровый завод,https://www.ipm.ru/,7811000276,,СЗФО,нет,нет,нет,нет,нет,нет,нет,нет,нет,https://www.ipm.ru/company/dokumenty/,,1
Кировский завод,https://kzgroup.ru/,7805019279,,СЗФО,нет,https://kzgroup.ru/companiya/,нет,https://kzgroup.ru/korporativnyy-universitet/,нет,нет,https://kzgroup.ru/,нет,нет,https://kzgroup.ru/aktsioneram-i-investoram/,,4
Корпорация морского приборостроения,https://aokmp.ru/,7813649764,,СЗФО,нет,нет,нет,нет,нет,нет,https://aokmp.ru/,нет,https://aokmp.ru/anticorruption/,нет,,3
Метеор лифт (бывший Отис),https://meteor.ru/,7805223443,,СЗФО,нет,нет,нет,https://meteor.ru/company/career/,нет,нет,https://meteor.ru/company/,нет,нет,нет,,3
Ситроникс,https://www.sitronics.com/,7735116621,,СЗФО,нет,нет,нет,https://www.sitronics.com/career,https://www.sitronics.com/procurement,нет,https://www.sitronics.com/company,https://www.sitronics.com/wp-content/uploads/2022/02/kodeks-delovogo-povedeniya-i-etiki.pdf,https://www.sitronics.com/wp-content/uploads/2022/02/antikorrupczionnaya-politika.pdf,нет,,6
Транспак,https://t-pack.ru/,7814645226,,СЗФО,нет,https://t-pack.ru/social/,нет,https://t-pack.ru/team/,нет,нет,https://t-pack.ru/about/,нет,нет,нет,,4
"Центр судоремонта ""Звёздочка""",https://www.star.ru/,2902060361,,СЗФО,нет,нет,нет,https://www.star.ru/Socialnoe-partnerstvo,https://www.star.ru/Tenderi/Zakupki,https://www.star.ru/Investoram/Vnutrennie-dokumenti-Obshestva,нет,нет,https://www.star.ru/O-kompanii/Protivodeystvie-korrupcii,https://www.star.ru/Raskritie-informacii,,5
Электроприбор,http://www.elektropribor.spb.ru/,7813438763,,СЗФО,нет,нет,нет,http://www.elektropribor.spb.ru/kadrovaya-politika/,http://www.elektropribor.spb.ru/o-predpriyatii/zakupki/,http://www.elektropribor.spb.ru/o-predpriyatii/generalnyy-direktor/ ,нет,http://www.elektropribor.spb.ru/upload/medialibrary/e95/doc2.pdf,http://www.elektropribor.spb.ru/o-predpriyatii/ofitsialnaya-informatsiya/antikorruptsionnaya-politika/,http://www.elektropribor.spb.ru/o-predpriyatii/ofitsialnaya-informatsiya/,,6
«Группа ПОЛИПЛАСТИК»,https://www.polyplastic.ru,5021013384,,RAEX,нет,https://www.polyplastic.ru/company/eco,нет,нет,нет,нет,нет,нет,https://www.polyplastic.ru/upload/company/anticorrupt/antikorrupcionnaya-politika-ooo-grpp.pdf,https://www.polyplastic.ru/documents,,3
«Упаковочные системы»,https://www.packaging-systems.ru,7706017070,,RAEX,https://www.packaging-systems.ru/sustainable/,https://www.packaging-systems.ru/sustainable/,нет,нет,нет,нет,https://www.packaging-systems.ru/#missions,нет,нет,нет,,4
ЭкопрофХим,https://ecoprofchem.ru/,7810718748,,СЗФО,нет,нет,нет,нет,нет,нет,https://ecoprofchem.ru/about/,нет,нет,нет,,2
«ФосАгро»,https://www.phosagro.ru,7736216869,*,RAEX, https://www.phosagro.ru/sustainability/,https://www.phosagro.ru/sustainability/ecology/,https://www.phosagro.ru/production/attention/,https://www.phosagro.ru/sustainability/social-response/,https://www.phosagro.ru/procurement/,https://www.phosagro.ru/about/management/,https://www.phosagro.ru/sustainability/,https://ar2022.phosagro.ru/pdf/ar/ru/corporate-governance_ethical-practices.pdf,нет,https://www.phosagro.ru/ori/phosagro/company_charter/,,9
«Уралкалий»,https://www.uralkali.com/ru/,5911029807,,RAEX, https://www.uralkali.com/ru/sustainability/,https://www.uralkali.com/ru/sustainability/environment/,https://www.uralkali.com/ru/buyers/quality/,https://www.uralkali.com/ru/sustainability/our_people/,https://www.uralkali.com/ru/tenders/obrashchenie-k-postavshikam/,https://www.uralkali.com/ru/about/corporate_governance/,https://www.uralkali.com/ru/about/mission/,https://www.uralkali.com/ru/sustainability/ethics/,https://www.uralkali.com/ru/sustainability/ethics/,https://www.uralkali.com/ru/investors/reporting_and_disclosure/,,10
"«Уралхим», ОХК",https://www.uralchem.ru,7703647595,,RAEX,https://www.uralchem.ru/esg/,https://www.uralchem.ru/esg/ekologicheskiy-aspekt-e/,https://www.uralchem.ru/products/vnimaniyu-pokupateley/,https://www.uralchem.ru/esg/sotsialnyy-aspekt-s/,https://www.uralchem.ru/purchase/kak-stat-postavshchikom/,https://www.uralchem.ru/corporate_management/,https://www.uralchem.ru/about/mission/,нет,https://www.uralchem.ru/corporate_management/antikorruptsionnye-programmy/polozhenie-ob-antikorruptsionnoy-politike-ao-okhk-uralkhim/,https://www.uralchem.ru/esg/esg-dokumenty/,,9
"«Акрон», группа",https://www.acron.ru,5321093528,,RAEX,https://www.acron.ru/sustainability/,https://www.acron.ru/sustainability/environment/,https://www.acron.ru/products-and-services/product-quality/,https://www.acron.ru/sustainability/environment/,https://www.acron.ru/about-acron-group/etp/,https://www.acron.ru/about-acron-group/the-board-of-directors/,нет,нет,нет,https://www.acron.ru/investors/disclosure/acron-disclosure/,,7
МХК «ЕвроХим»,https://www.eurochem.ru,7721230290,,RAEX,https://www.eurochem.ru/sustainability/,https://www.eurochem.ru/sustainability/communities/,нет,https://www.eurochem.ru/sustainability/communities/,нет,https://www.eurochem.ru/corporate-governance/,нет,нет,нет,https://mcc.eurochem.ru/ru/,,5
«Тольяттиазот»,https://www.toaz.ru,6320004728,,RAEX, sustainability-report-toaz.pdf,https://www.toaz.ru/social-responsibility/environment,https://www.toaz.ru/product/liniya-doveriya,https://www.toaz.ru/social-responsibility/charity-and-support-of-the-region/,https://www.toaz.ru/zakupki/informacziya-dlya-postavshhikov,https://www.toaz.ru/korporativnoe-upravlenie,нет,нет,нет,https://www.toaz.ru/to-investors/disclosure,,6
«Фирма «Август»,https://avgust.com,5046001101,,RAEX,https://avgust.com/services/newspaper/nasha_zadacha_ustoychivoe_razvitie,https://avgust.com/images/politika.jpg,нет,https://avgust.com/company/social-responsibility/,нет,нет,https://avgust.com/company/strategy/business/,нет,нет,https://avgust.com/share/raskrytie-informatsii-aktsioneram-lna/,,5
«Щёкиноазот»,http://n-azot.ru,7118004789,,RAEX,http://n-azot.ru/responsibility.php,https://n-azot.ru/responsibility.php?pos=20,нет,https://n-azot.ru/responsibility.php?pos=28,https://n-azot.ru/tender.php,нет,нет,https://n-azot.ru/info.php?lang=RU&group=386,нет,https://n-azot.ru/info.php,,6
Группа компаний Азот,https://kao-azot.com,7838365595,,RAEX,https://kao-azot.com/index.html,нет,нет,https://kao-azot.com/okhrana-truda.html,,https://kao-azot.com/o-kompanii.html,https://kao-azot.com/index.html,нет,нет,нет,,5
Пигмент (КРАТА),https://krata.ru,6829000074,,RAEX,https://krata.ru/evolution/,https://krata.ru/evolution/ecology/,нет,https://krata.ru/evolution/social-infrastructure/,https://krata.ru/cooperation/ust-zakupki/,https://krata.ru/about/leadership/,https://krata.ru/about/mission/,https://krata.ru/evolution/politics/,https://krata.ru/about/ethics/,https://krata.ru/evolution/,,9
"""Каустик"" (г. Волгоград)",https://www.kaustik.ru/ru/,3448003962,,RAEX,sustainability-report-kaustik.pdf,https://www.kaustik.ru/ru/index.php/o-kompanii/ekologicheskaya-otvetstvennost,https://www.kaustik.ru/ru/index.php/partneram/obrashchaem-vnimanie-na-moshennicheskie-skhemy,https://www.kaustik.ru/ru/index.php/o-kompanii/sotsialnaya-otvetstvennost,https://www.kaustik.ru/ru/index.php/partneram/zakupki,нет,нет,https://www.kaustik.ru/ru/index.php/o-kompanii/korporativnaya-politika,нет,https://www.kaustik.ru/ru/index.php/o-kompanii/raskrytie-informatsii,,6
«Метафракс кемикалс»,https://metafrax.ru,5913001268,,RAEX,https://metafrax.ru/responsibility,https://metafrax.ru/responsibility/protecting-the-environment,https://metafrax.ru/responsibility/cultural-activities,https://metafrax.ru/responsibility/sponsorship-charity,https://metafrax.ru/tenders,https://metafrax.ru/management#text,https://metafrax.ru/mission,нет,https://metafrax.ru/responsibility/anti-corruption-programs,https://metafrax.ru/disclosure#text,,9
«Башкирская содовая компания»,https://www.soda.ru/ru/,268008010,,RAEX,https://www.soda.ru/ru/pages/detail/social_responsibility/,https://www.soda.ru/ru/pages/detail/Ecology/,нет,https://www.soda.ru/ru/pages/detail/social_responsibility/,https://www.soda.ru/ru/pages/detail/Procurement/,нет,нет,нет,нет,https://www.soda.ru/ru/pages/detail/KSO/,,5
«КуйбышевАзот»,https://www.kuazot.ru,6320005915,,RAEX,https://www.kuazot.ru/news/426-kuybyshevazot-voshel-v-top-3-reytinga-socialnoy-ef/,https://www.kuazot.ru/responsibility/ecology_and_resource_saving/,https://www.kuazot.ru/products/products_in_life/,https://www.kuazot.ru/responsibility/external_social_investment/,https://www.kuazot.ru/purchases/index/,https://www.kuazot.ru/company/control/,https://www.kuazot.ru/company/mission_and_goals/,нет,https://www.kuazot.ru/responsibility/anti_corruption/,https://www.kuazot.ru/invest/company_registrar/,,9
Омск Карбон Групп,https://omskcarbongroup.com/#0,3664132994,,RAEX, https://omskcarbongroup.com/sustainability/,https://omskcarbongroup.com/sustainability/health/,https://omskcarbongroup.com/sustainability/health/,,https://omskcarbongroup.com/tenders/,нет,нет,нет,нет,нет,,5
«КамАЗ»,https://kamaz.ru,1650032058,,RAEX,Strategy KAMAZ 2030_v 2024_ru_public.pdf,https://kamaz.ru/investors-and-shareholders/information-disclosure/green-financing/,нет,https://kamaz.ru/career/sotrudnikam/,https://kamaz.ru/about/supplier/basic_principles/,нет,https://kamaz.ru/about/development/mission/,https://kamaz.ru/about/compliance/,https://kamaz.ru/about/compliance/,https://kamaz.ru/investors-and-shareholders/information-disclosure/,,7
«Трансмашхолдинг»,https://tmholding.ru/,7723199790,,RAEX,https://tmholding.ru/improvement/,https://tmholding.ru/about_us/okhrana-truda/,,https://tmholding.ru/engineering/#life,нет,нет,нет,https://tmholding.ru/about_us/ethics/,нет,нет,,5
«Объединенная судостроительная корпорация»,https://aoosk.ru,7838395215,,RAEX,нет,нет,нет,https://aoosk.ru/personnel-policy/employees/,https://aoosk.ru/purchases/,https://aoosk.ru/about/board-directors/,нет,нет,https://aoosk.ru/about/anti-corruption/,https://aoosk.ru/about/disclosures/,,5
ГАЗ,"
http://www.gaz.ru",5200000046,,RAEX,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,,1
«Группа Синара»,https://www.sinara-group.com,6658252583,,RAEX,https://www.sinara-group.com/responsibility/charity/,,нет,https://www.sinara-group.com/career/life/,нет,нет,нет,https://www.sinara-group.com/responsibility/komplaens/,https://www.sinara-group.com/responsibility/komplaens/,нет,,5
Кордиант,https://cordiant.ru,7601001509,,RAEX,https://www.cordiant-tyre.ru/values/,нет,нет,https://cordi-career.tilda.ws/,нет,нет,нет,нет,нет,нет,,3
«Объединенная авиастроительная корпорация»,https://www.uacrussia.ru/ru/,7708619320,,RAEX,нет,нет,нет,https://www.uacrussia.ru/ru/corporation/personnel-policy/training-in-vocational-education/,https://partners.uacrussia.ru/,https://www.uacrussia.ru/ru/corporation/leaders/,нет,нет,https://www.uacrussia.ru/ru/corporation/anticorruption-policy/,https://www.uacrussia.ru/ru/investors/open-information/,,5
Северная верфь,https://nordsy.spb.ru/,7805034277,,СЗФО,нет,https://nordsy.spb.ru/about/qms/ecology/index.php,нет,https://nordsy.spb.ru/job/guarantees/,https://nordsy.spb.ru/bidding-and-procurement/trades/,https://nordsy.spb.ru/about/control/,нет,нет,https://nordsy.spb.ru/about/reaction/,https://nordsy.spb.ru/toshareholders/shareholders/,,6
Силовые машины,https://power-m.ru/,7702080289,,СЗФО,нет,https://power-m.ru/company/social-responsibility/environmental-protection/,https://power-m.ru/customers/customer-account/,https://power-m.ru/company/social-responsibility/,https://power-m.ru/suppliers/,нет,https://power-m.ru/company/values/,https://power-m.ru/company/compliance-with-codes-and-regulations/Standarti%20povedenia.pdf,https://power-m.ru/company/anti-corruption-policies/ppk_.pdf,нет,,8
Онежский судостроительный завод,https://onegoshipyard.ru/,1001340266,,СЗФО,нет,нет,нет,https://onegoshipyard.ru/karera/sotsialnaya-politika/,https://onegoshipyard.ru/zakupki/polozhenie-o-zakupkah/,https://onegoshipyard.ru/about/rukovodstvo/,https://onegoshipyard.ru/about/,нет,https://onegoshipyard.ru/about/protivodeystvie-korruptsii/,нет,,6
Петербургский тракторный завод,https://kirovets-ptz.com/,7805059867,,СЗФО,нет,нет,нет,https://kirovets-ptz.com/company/kadrovaya-politika/,https://kirovets-ptz.com/company/zakupki/,нет,нет,нет,https://kirovets-ptz.com/upload/medialibrary/734/cn2omv7pehmidd7gs33vgjz508fi8upu/%D0%9F%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0%20%D0%B2%20%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8%20%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2%D0%BE%D0%B4%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%BA%D0%BE%D1%80%D0%BF%D0%BE%D1%80%D0%B0%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%BC%D1%83%20%D0%BC%D0%BE%D1%88%D0%B5%D0%BD%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D1%83.pdf,нет,,4
ЕВРАЗ,https://www.evraz.com/ru/,7701225358,,RAEX,https://www.evraz.com/ru/sustainability/,https://www.evraz.com/ru/sustainability/environmental-stewardship/approach-and-policies/,нет,https://www.evraz.com/ru/sustainability/our-people/,https://www.evraz.com/ru/suppliers/,https://www.evraz.com/ru/company/governance/,нет,нет,https://www.evraz.com/ru/sustainability/anti-corruption/,https://www.evraz.com/ru/evraz-disclosure/,,7
«Северсталь»,https://severstal.com/rus/,3528000597,*,RAEX,https://severstal.com/rus/sustainable-development/,https://severstal.com/rus/sustainable-development/environment/,https://severstal.com/rus/clients/customer-service/,нет,https://suppliers.severstal.com/en-old/,https://severstal.com/rus/about/corporative/board-of-directors/,https://severstal.com/rus/about/strategy/,https://severstal.com/rus/sustainable-development/social/compliance/,нет,https://severstal.com/rus/ir/information-disclosure/all/,,8
Магнитогорский металлургический комбинат (ММК),https://mmk.ru/ru/,7414003633,*,RAEX,https://mmk.ru/ru/sustainability/,https://mmk.ru/ru/sustainability/ecology/,нет,https://mmk.ru/ru/career/,https://mmk.ru/ru/for-suppliers/,https://mmk.ru/ru/about/corporate-governance/,https://mmk.ru/ru/about/strategy/,https://mmk.ru/ru/about/corporate-governance/internal-documents/,https://mmk.ru/ru/about/corporate-governance/internal-documents/,нет,,9
НЛМК,https://nlmk.com/ru/,4823006703,*,RAEX,https://nlmk.com/ru/sustainability/,https://nlmk.com/ru/sustainability/environment/,нет,https://career.nlmk.com/,https://nlmk.com/ru/for-suppliers-and-contractors/,https://nlmk.com/ru/about/governance/,нет,нет,https://nlmk.com/ru/sustainability/anticorruption/anti-corruption-compliance/,https://www.e-disclosure.ru/portal/company.aspx?id=2509,,7
«Металлоинвест»,https://www.metalloinvest.com,5018108484,,RAEX,https://www.metalloinvest.com/development/,https://www.metalloinvest.com/development/ecology/,нет,нет,https://www.metalloinvest.com/purchases/,https://www.metalloinvest.com/development/corporate-governance/,нет,https://www.metalloinvest.com/about/compliance/,https://www.metalloinvest.com/about/compliance/,https://www.e-disclosure.ru/portal/company.aspx?id=13358,,7
ТМК (Трубная металлургическая компания),https://www.tmk-group.ru,7710373095,,RAEX,https://www.tmk-group.ru/sustainable-development,https://www.tmk-group.ru/esg-ecology,нет,https://www.tmk-group.ru/careers,https://zakupki.tmk-group.com/#tmk/front/index,https://www.tmk-group.ru/GM_Summary,https://www.tmk-group.ru/Our_mission,https://www.tmk-group.ru/esg-docs,https://www.tmk-group.ru/esg-docs,https://www.tmk-group.ru/Disclosure,,9
ПАО «Селигдар»,https://seligdar.ru,1402047184,*,RAEX,https://seligdar.ru/sustainability/principles-approaches/,https://seligdar.ru/sustainability/environment/,нет,https://seligdar.ru/career/working-with-us/,https://seligdar.ru/suppliers/procurement-principles/,нет,https://seligdar.ru/company/mission-and-strategy/,нет,https://seligdar.ru/investors/disclosure/official-documents/,https://www.e-disclosure.ru/portal/company.aspx?id=12557,,7
«Мечел»,https://www.mechel.ru/#1,7703370008,*,RAEX,https://www.mechel.ru/sustainability/,https://mechel.ru/sustainability/environment/,нет,https://mechel.ru/sustainability/staff/,https://mechel.ru/purchase/,https://mechel.ru/shareholders/corporate_governance/,нет,https://mechel.ru/sustainability/human_rights/,нет,https://www.e-disclosure.ru/portal/company.aspx?id=1942,,7
«Ашинский металлургический завод»,https://www.amet.ru/,7401000473,,RAEX,https://www.amet.ru/social/,https://www.amet.ru/aboutplant/ecology/,нет,https://www.amet.ru/career/,https://www.amet.ru/suppliers/,https://www.amet.ru/aboutplant/management/,нет,https://www.amet.ru/invest/opening/documents/,https://www.amet.ru/invest/opening/documents/?q_sect=&q_name=коррупци&set_filter=,https://www.amet.ru/invest/opening/,,8
Объединенная металлургическая компания (ОМК),https://omk.ru/,7736030085,,RAEX,https://omk.ru/sustainable-development/,https://omk.ru/sustainable-development/climate-strategy/,нет,https://omk-job.ru/,https://omk.ru/procurement/,нет,https://omk.ru/sustainable-development/,нет,нет,нет,,6
«Промышленно-металлургический холдинг» (ПМХ),https://www.metholding.ru,411075740,,RAEX,https://www.metholding.ru/development/,https://metholding.ru/development/conservation/,нет,https://metholding.ru/development/caring-for-people/sotsialnaya-otvetstvennost/,нет,https://www.metholding.ru/development/korporativnoe-upravlenie/,https://www.metholding.ru/company/#mission,нет,https://www.metholding.ru/development/korporativnoe-upravlenie/komplaens/,нет,,7
«Полюс»,https://polyus.com/ru/,7703389295,*,RAEX,https://sustainability.polyus.com/ru/,https://sustainability.polyus.com/ru/environment/,https://sustainability.polyus.com/ru/human_rights_policy/,https://sustainability.polyus.com/ru/our_people/,нет,https://polyus.com/ru/company/corporate_governance/,нет,нет,https://polyus.com/ru/anti-corruption/,нет,,7
«Полиметалл»,https://www.polymetalinternational.com/ru/,7805104870,,RAEX,https://www.polymetalinternational.com/ru/sustainability/,https://www.polymetalinternational.com/ru/sustainability/environment/,нет,https://www.polymetalinternational.com/ru/sustainability/people/,нет,https://www.polymetalinternational.com/ru/about/corporate-governance/,нет,https://www.polymetalinternational.com/ru/investors-and-media/corporate-disclosures/standards-and-policies/#policies,https://www.polymetalinternational.com/ru/investors-and-media/corporate-disclosures/standards-and-policies/#policies,https://www.polymetalinternational.com/ru/investors-and-media/corporate-disclosures/,,7
"«Норильский никель», горно-металлургическая компания",https://www.nornickel.ru,8401005730,*,RAEX,https://www.nornickel.ru/sustainability/,https://www.nornickel.ru/upload/iblock/1cd/Norilsk_Nickel_Environmental_Strategy_2021_ru.pdf,https://www.nornickel.ru/sustainability/social-responsibility/human-rights/,https://www.nornickel.ru/sustainability/social-responsibility/health-and-safety/,https://www.nornickel.ru/suppliers/purchasing-policy/,https://www.nornickel.ru/company/governance/board-of-directors/,https://www.nornickel.ru/company/mission-and-values/,https://www.nornickel.ru/investors/disclosure/corporate-documents/#accordion-corporate-codes-and-policies,https://www.nornickel.ru/investors/disclosure/corporate-documents/#accordion-corporate-codes-and-policies,https://www.nornickel.ru/investors/disclosure/corporate-documents/,,10
Акционерная компания «АЛРОСА»,https://alrosa.ru,1433000147,*,RAEX,https://alrosa.ru/sustainable-development/,https://alrosa.ru/sustainable-development/environmental-protection/#environmental-policy,нет,https://alrosa.potok.io/open/jobs/569104,https://alrosa.ru/buy/,https://alrosa.ru/about/corporate-governance/#objectives-and-structure,https://alrosa.ru/about/our-approach/,https://alrosa.ru/about/documents/,https://alrosa.ru/about/documents/,https://www.e-disclosure.ru/portal/company.aspx?id=199,,9
«Красноярский завод цветных металлов имени В.Н. Гулидова»,https://www.krastsvetmet.ru,2451000818,,RAEX,нет,https://www.krastsvetmet.ru/environmental-protection/,нет,https://career.krastsvetmet.ru/,нет,https://www.krastsvetmet.ru/about-us/management/,нет,https://www.krastsvetmet.ru/about-us/open-info/,https://www.krastsvetmet.ru/about-us/open-info/,https://www.krastsvetmet.ru/about-us/open-info/,,6
«Высочайший» (GV Gold),https://www.gvgold.ru/ru/,3802008553,,RAEX,https://www.gvgold.ru/ru/our-commitment/,https://www.gvgold.ru/ru/our-commitment/,нет,https://www.gvgold.ru/ru/careers/about-work/,https://www.gvgold.ru/ru/suppliers/procurement-policy/,нет,нет,нет,https://www.gvgold.ru/ru/company/anti-corruption/,нет,,6
