Бренд и Юрлицо (!),Веб-сайт,ИНН,МOEX,Регион,"Устойчивое развитие, Социальная отчетность, ESG",Экология,"Забота о потребителях, защита прав потребителей ","Забота о работниках, социальные программы","Поставщикам, Закупки","Корпоративное управление, совет директоров, высший менеджмент","Миссия, ценности",Этический кодекс,Антикоррупция,Раскрытие информации,,Количесво ссылок
Nordgold,https://www.nordgold.com/ru/,7713688946,,RAEX,https://www.nordgold.com/ru/sustainability/,https://nordgold.com/ru/sustainability/environment/,нет,https://www.nordgoldjobs.com/,https://nordgold.com/ru/suppliers-information/,https://nordgold.com/ru/about/governance/,https://nordgold.com/ru/about/mission-and-values/,https://nordgold.com/ru/sustainability/reports-and-downloads/?section=43,https://nordgold.com/ru/sustainability/reports-and-downloads/?section=43,нет,,9
Highland Gold Mining,https://russdragmet.ru,2540277272,,RAEX,https://russdragmet.ru/главная/устойчивое-развитие/наши-обязательства/,https://russdragmet.ru/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F/%D1%83%D1%81%D1%82%D0%BE%D0%B9%D1%87%D0%B8%D0%B2%D0%BE%D0%B5-%D1%80%D0%B0%D0%B7%D0%B2%D0%B8%D1%82%D0%B8%D0%B5/%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%B0-%D0%BE%D0%BA%D1%80%D1%83%D0%B6%D0%B0%D1%8E%D1%89%D0%B5%D0%B9-%D1%81%D1%80%D0%B5%D0%B4%D1%8B/,нет,https://russdragmet.ru/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F/%D1%83%D1%81%D1%82%D0%BE%D0%B9%D1%87%D0%B8%D0%B2%D0%BE%D0%B5-%D1%80%D0%B0%D0%B7%D0%B2%D0%B8%D1%82%D0%B8%D0%B5/%D0%BD%D0%B0%D1%88%D0%B8-%D0%BB%D1%8E%D0%B4%D0%B8/,нет,нет,нет,нет,нет,нет,,4
Прииск Соловьевский,https://solov.ru,2828002272,,RAEX,нет,нет,нет,https://solov.ru/sotsialnaya-zhizn,нет,https://solov.ru/about/rukovodstvo,нет,нет,нет,https://solov.ru/informatsiya-k-raskrytiyu,,3
Южуралзолото Группа Компаний,http://www.ugold.ru/ru/,7424024375,,RAEX,http://www.ugold.ru/ru/press/release/detail.php?ID=269,http://www.ugold.ru/ru/social/ecology/,нет,http://www.ugold.ru/ru/social/industrial_safety/,нет,http://www.ugold.ru/ru/about/heads/,нет,нет,нет,http://www.ugold.ru/ru/services/,,5
Золоторудная Компания ПАВЛИК,https://www.pavlik-gold.ru,4900000681,,RAEX,https://www.pavlik-gold.ru/sustainable/,https://www.pavlik-gold.ru/sustainable/ecology/,нет,https://www.pavlik-gold.ru/sustainable/safety/,https://www.pavlik-gold.ru/suppliers/,нет,нет,нет,нет,нет,,5
"«Русал», объединенная компания",https://www.rusal.ru,3906394938,*,RAEX,https://www.rusal.ru/sustainability/,https://www.rusal.ru/sustainability/environmental-protection/,нет,https://www.rusal.ru/career/,https://www.rusal.ru/suppliers/,https://www.rusal.ru/about/corp-management/#sovet-direktorov,нет,https://www.rusal.ru/compliance/,https://www.rusal.ru/compliance/,https://www.rusal.ru/investors/info/hkse/,,8
En+ Group,https://www.enplusgroup.com/ru/,3906382033,*,RAEX,https://www.enplusgroup.com/ru/sustainability/,https://enplusgroup.com/ru/investors/esg/environment/,нет,https://www.enplusgroup.com/ru/sustainability/people/,нет,https://www.enplusgroup.com/ru/company/corporate-governance/,нет,https://www.enplusgroup.com/ru/investors/corporate-documents/,нет,https://www.enplusgroup.com/ru/investors/regulatory-news/rns/,,6
"«Кузбассразрезуголь», угольная компания",https://www.kru.ru/ru/,4205049090,,RAEX,https://www.kru.ru/ru/activity/production_safety/,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,,2
Распадская,https://www.raspadskaya.com/ru/,4214002316,,RAEX,https://www.raspadskaya.com/ru/sustainability/approach-and-policy/,https://www.raspadskaya.com/ru/sustainability/environment/,нет,https://www.raspadskaya.com/ru/career/why-raspadskaya/,https://www.raspadskaya.com/ru/suppliers/policy/,https://www.raspadskaya.com/ru/company/governance/principles/,нет,нет,https://www.raspadskaya.com/ru/sustainability/anticorruption/,https://www.raspadskaya.com/ru/investors/disclosure/internal-documents/,,7
СУЭК,https://www.suek.ru,7708129854,,RAEX,https://www.suek.ru/sustainability/,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,,2
«Стройсервис»,https://stroyservis.com,4234001215,,RAEX,https://stroyservis.com/socialresponsible/priorities,https://stroyservis.com/socialresponsible/ecology,нет,https://stroyservis.com/career/careermain,https://stroyservis.com/tenderstorgs/ads,нет,нет,нет,нет,нет,,5
«Новая горная управляющая компания»,http://www.new-mmc.com,4217055884,,RAEX,http://www.new-mmc.com/kompaniya/strategiya/,нет,нет,http://www.new-mmc.com/lyudi-kompanii/sotsialnyye-programmy/,нет,нет,нет,нет,http://www.new-mmc.com/kompaniya/protivodeystvie-korruptsii/,нет,,4
"«Сибантрацит», группа",https://elsi-group.ru,5406192366,,RAEX,https://elsi-group.ru/care,https://elga.ru/care/environmental,нет,https://elga.ru/life,нет,https://elga.ru/company/directors,нет,нет,нет,нет,,5
«Русский уголь»,https://www.ruscoal.ru,7705880068,,RAEX,https://www.ruscoal.ru/sotsialnaya-politika/,https://www.ruscoal.ru/sotsialnaya-politika/ekologiya/,нет,https://www.ruscoal.ru/sotsialnaya-politika/,https://www.ruscoal.ru/tenders/,нет,https://www.ruscoal.ru/about/tsennosti/,нет,нет,нет,,6
«Корпорация ВСМПО-АВИСМА»,https://www.vsmpo.ru,6607000556,,RAEX,https://www.vsmpo.ru/development/,https://www.vsmpo.ru/development/,нет,https://www.vsmpo.ru/career/blagotvoritelnost/,https://www.vsmpo.ru/tenders/potrebnosti-korporatsii/,https://www.vsmpo.ru/investors/korporativnoe-upravlenie/organizatsii/,https://www.vsmpo.ru/corporation/,нет,нет,нет,,7
ОГК Групп,https://ogkgroup.ru/,7720746187,,RAEX,нет,нет,нет,нет,нет,нет,https://ogkgroup.ru/about,нет,нет,нет,,2
«УГМК»,https://www.ugmk.com,6606013640,,RAEX,https://ugmk.com/about_company/strategy/,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,,2
«Русская медная компания»,https://rmk-group.ru/ru/,6670061296,,RAEX,https://rmk-group.ru/ru/sustainable_development/our_approach/,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,,2
"«Роснефть», нефтяная компания",https://www.rosneft.ru,7706107510,*,RAEX,Rosneft_CSR2022_RUS.pdf,Нет,Нет,https://www.rosneft.ru/Development/personnel/ и  https://www.rosneft.ru/Development/Podhodi_k_sobljudeniju_prav_cheloveka/,Нет,https://www.rosneft.ru/governance/,https://www.rosneft.ru/about/strategy/,https://www.rosneft.ru/Investors/corpgov/,https://www.rosneft.ru/Investors/corpgov/,https://www.rosneft.ru/Investors/information/,,6
«ЛУКОЙЛ»,https://lukoil.ru,7708004767,*,RAEX,https://lukoil.ru/Sustainability,https://lukoil.ru/Sustainability/Environment,Нет,https://lukoil.ru/Sustainability/Ouremployees и https://lukoil.ru/Sustainability/Humanrights,https://lukoil.ru/Company/Tendersandauctions/Tenders,нет,нет,https://lukoil.ru/Sustainability/DocumentCenter,https://lukoil.ru/Company/InternalDocuments,https://lukoil.ru/InvestorAndShareholderCenter/Disclosure,,7
«Зарубежнефть»,https://www.zarubezhneft.ru/ru/,7706009381,,RAEX,https://www.zarubezhneft.ru/ru/ustoychivoe-razvitie/,https://www.zarubezhneft.ru/ru/ustoychivoe-razvitie/okhrana-okruzhayushchey-sredy/,Нет,https://www.zarubezhneft.ru/ru/ustoychivoe-razvitie/okhrana-truda-i-promyshlennaya-bezopasnost/,https://www.zarubezhneft.ru/ru/zakupki/aktualnye-zakupki/,нет,https://www.zarubezhneft.ru/ru/o-kompanii/missiya-i-tsennosti/,https://www.zarubezhneft.ru/ru/raskrytie-informatsii/,https://www.zarubezhneft.ru/ru/raskrytie-informatsii/,https://www.zarubezhneft.ru/ru/raskrytie-informatsii/,,8
НОВАТЭК,https://www.novatek.ru,6316031581,*,RAEX,https://www.novatek.ru/ru/esg/,нет,Нет,https://www.novatek.ru/ru/esg/staff/,Нет,https://www.novatek.ru/ru/about/management/,нет,https://www.novatek.ru/ru/esg/opsustainability/business-ethics/,https://www.novatek.ru/ru/esg/opsustainability/business-ethics/,https://www.novatek.ru/ru/investors/disclosure/facts/,,6
«Иркутская нефтяная компания»,https://www.irkutskoil.ru,3808101407,,RAEX,https://www.irkutskoil.ru/sustainable-development/,https://www.irkutskoil.ru/sustainable-development/environmental-protection/,Нет,https://www.irkutskoil.ru/sustainable-development/society/occupational-health-and-safety/,https://lkk.irkutskoil.ru/active-tenders/list,https://www.irkutskoil.ru/shareholders/sistema-korporativnogo-upravleniya/,нет,https://www.irkutskoil.ru/sustainable-development/managment/ethics-and-combating-corruption/,https://www.irkutskoil.ru/sustainable-development/managment/ethics-and-combating-corruption/,https://www.irkutskoil.ru/shareholders/disclosure/,,8
"«Татнефть», группа",https://www.tatneft.ru,1644003838,*,RAEX,https://www.tatneft.ru/sustainable_development,https://www.tatneft.ru/ekologiya,https://www.tatneft.ru/sustainable_development/human_rights,https://www.tatneft.ru/sustainable_development/personnel,Нет,https://www.tatneft.ru/o-kompanii/corporate_governance,https://www.tatneft.ru/o-kompanii/mission,нет,https://www.tatneft.ru/o-kompanii/corporate_governance/anticorruption,https://www.tatneft.ru/aktsioneram-i-investoram/raskritie-informatsii/godovie-otcheti,,8
«Газпром»,https://www.gazprom.ru,7736050003,*,RAEX,https://www.gazprom.ru/sustainability/,https://www.gazprom.ru/sustainability/environmental-protection/,https://www.gazprom.ru/sustainability/human-rights/,https://www.gazprom.ru/about/production/safety/,Нет,https://www.gazprom.ru/sustainability/sustainability-management/regulatory-documents/,нет,https://www.gazprom.ru/sustainability/sustainability-management/regulatory-documents/,https://www.gazprom.ru/sustainability/sustainability-management/regulatory-documents/,https://www.gazprom.ru/investors/disclosure/,,8
Якутская топливно-энергетическая компания (ЯТЭК),http://www.yatec.ru/,1435027335,,RAEX,https://yatec.ru/razvitie/ecology/,https://yatec.ru/razvitie/ecology/,Нет,https://yatec.ru/razvitie/safety/,https://yatec.ru/postavshchikam/tekushchie-zakupki/,https://www.yatec.ru/aktsioneram/raskrytie-informatsii/uchreditelnye-dokumenty-i-polozheniya/,нет,нет,нет,https://yatec.ru/aktsioneram/raskrytie-informatsii/,,6
«Сургутнефтегаз»,https://www.surgutneftegas.ru,8602060555,*,RAEX,ECO_2022_surgut.pdf,https://www.surgutneftegas.ru/responsibility/ecology/,Нет,https://www.surgutneftegas.ru/responsibility/personnel_policy/,Нет,https://www.russneft.ru/shareholders/corporate_governance/,нет,нет,нет,https://www.surgutneftegas.ru/regulated_activities/raskrytie-informatsii-po-reguliruemym-sferam-deyatelnosti/index.php?sphrase_id=105646,,4
"«РуссНефть», нефтегазовая компания",http://www.russneft.ru,7715351479,,RAEX,http://www.russneft.ru/esg/,http://www.russneft.ru/production/bezopasnost_proizvodstva_i_okhrana_okruzhayushchey_sredy/,Нет,http://www.russneft.ru/about/managepolitic/,https://tender.russneft.ru,https://www.russneft.ru/shareholders/corporate_governance/,нет,нет,нет,http://www.russneft.ru/shareholders/information_disclosure/,,6
«Газпром нефть»,https://www.gazprom-neft.ru,5504036333,,RAEX,https://www.gazprom-neft.ru/social/,https://www.gazprom-neft.ru/social/ecology/,Нет,https://www.gazprom-neft.ru/social/employee-development/,Нет,нет,https://www.gazprom-neft.ru/company/about/strategy/,нет,нет,https://ir.gazprom-neft.ru/disclosure/insiders/,,5
ТАИФ-НК,https://www.taifnk.ru,1655082001,,RAEX,https://www.taifnk.ru/press/publications/?action=ITEM&doc=722,https://taifnk.ru/company/ecology/,Нет,https://taifnk.ru/company/grade/,https://taifnk.ru/zakupki/,нет,нет,нет,https://taifnk.ru/company/documents/,https://taifnk.ru/company/sharer/,,6
Башнефть,http://www.bashneft.ru,274051582,,RAEX,20160617_bn_our2015_web_rus.pdf,Нет,Нет,Нет,Нет,https://www.bashneft.ru/corporate/directors/,нет,https://www.bashneft.ru/corporate/charter/,https://www.bashneft.ru/corporate/charter/,https://www.bashneft.ru/disclosure/,,4
«Сахалинская энергия»,https://www.sakhalinenergy.ru/ru/,6500000459,,RAEX,https://www.sakhalinenergy.ru/ru/hse/environment/,https://www.sakhalinenergy.ru/ru/hse/safety/,https://www.sakhalinenergy.ru/ru/social/sustainable_development/,https://www.sakhalinenergy.ru/ru/career/,https://www.sakhalinenergy.ru/ru/contractors/overview/,нет,нет,нет,нет,Нет,,6
"«Славнефть», группа",https://www.slavneft.ru,7705097080,,RAEX,https://bngre.slavneft.ru/sustainable-development,https://bngre.slavneft.ru/sustainable-development/environmental-protection,Нет,https://bngre.slavneft.ru/sustainable-development/safety,https://bngre.slavneft.ru/bidding/zakupki,нет,нет,https://www.slavneft.ru/shareholder/documents/,нет,Нет,,6
"""Нефтиса"", нефтяная компания",https://www.neftisa.ru,7707647210,,RAEX,https://www.neftisa.ru/sustainable-development/,https://www.neftisa.ru/sustainable-development/ecology/,Нет,https://www.neftisa.ru/sustainable-development/staff-development/,https://www.neftisa.ru/tenders/,https://www.neftisa.ru/about/boardofdirectors/,нет,нет,нет,Нет,,6
Независимая нефтегазовая компания,http://www.ipc-oil.ru/,7731306744,,RAEX,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,,1
«СИБУР Холдинг»,https://www.sibur.ru/ru/,7726033349,,RAEX,https://www.sibur.ru/ru/sustainability/,https://www.sibur.ru/ru/sustainability/sibur_environment/,https://www.sibur.ru/ru/clients/,https://www.sibur.ru/ru/sustainability/health/,https://www.sibur.ru/ru/procurement/,https://www.sibur.ru/ru/about/corporate/,https://www.sibur.ru/ru/about/mission/,https://www.sibur.ru/ru/about/corporate/documents/?section=185,https://www.sibur.ru/ru/about/corporate/compliance/,https://www.sibur.ru/ru/investors/disclosure/,,10
"«Титан», группа компаний (нефтехимия)",https://titan-group.ru,5501040083,,RAEX,https://titan-group.ru/about/development/,https://titan-group.ru/about/development/ecoinformer/,Нет,https://titan-group.ru/career/,Нет,https://titan-group.ru/about/,https://titan-group.ru/about/,нет,нет,,,6
АКВИЛОН,https://group-akvilon.ru/contacts/,7810734316,,СЗФО,нет,нет,нет,нет,нет,нет,https://group-akvilon.ru/about/mission/,нет,нет,нет,,2
Группа RBI,https://www.rbi.ru/about/history/,7801293231,,СЗФО,нет,нет,нет,нет,нет,https://www.rbi.ru/about/team/,https://www.rbi.ru/about/team/,Нет,нет,нет,,3
Главстрой СПБ,https://glavstroy-spb.ru,7839347260,,СЗФО,нет,Нет,https://glavstroy-spb.ru/consent-personal,https://glavstroy-spb.ru/career,Нет,https://glavstroy-spb.ru/company,Нет,Нет,Нет,Нет,,4
«Мегалайн»,https://megalinestroy.ru,7802742962,,СЗФО,нет,Нет,Нет,Нет,https://megalinestroy.ru/#podryadchik,Нет,Нет,Нет,Нет,Нет,,2
Л1,https://www.l1-stroy.ru,7805081830,,СЗФО,нет,Нет,Нет,https://www.l1-stroy.ru/kariera,https://www.l1-stroy.ru/partneram,Нет,Нет,Нет,Нет,Нет,,3
ПИК,https://www.pik.ru/spb,5001019620,,СЗФО,нет,Нет,Нет,https://job.pik.ru,https://tender.pik.ru/?_ga=2.193956269.1024835076.1715883651-514309895.1715883651,Нет,https://job.pik.ru/about,Нет,Нет,Нет,,4
ГК “Самолет”,https://samolet.ru,9731004688,*,СЗФО,https://samolet.ru/investors/esg/,https://samolet.ru/investors/esg/,Нет,https://career.samolet.ru/?_gl=1*1ffsz6y*_ga*MTQ3MzkxNjkyLjE3MTU4ODM3MTk.*_ga_2WZB3B8QT0*MTcxNTg4MzcxOC4xLjEuMTcxNTg4Mzc3OC4wLjAuMTUxMjU2NjA4Mw..*_fplc*bk42S3VrRnZmcVRyUkZvT09RSUJkQ3MlMkI2U0pCRW82NFFMYnAwMDlXYmE4d3p1NmQ3NDAySXRaVzZySktVeHNIdTNiWFVRTWhoSGp2d0VZTkdidFBlOTVBUVp1SjEyJTJGYmdWV3NzYjlwWnNCRVhjNHJQOEhmc21VdHoya2E1QSUzRCUzRA..,https://partner.samolet.ru/tenders,https://samolet.ru/company/chiefs/,Нет,Нет,Нет,Нет,,6
ГК «А101»,https://a101.ru,7704810149,,СЗФО,нет,Нет,https://a101.ru/services/,https://a101.ru/company/career/,https://a101.ru/company/tenders/,https://a101.ru/company/directors/,Нет,https://a101.ru/mmedia/business_ethics.pdf,Нет,Нет,,6
«Петрополь»,http://www.petropol.ru,7842330147,,СЗФО,нет,Нет,Нет,http://www.petropol.ru/about/vacancy/,Нет,http://www.petropol.ru/about/team/,Нет,Нет,Нет,Нет,,3
Строительный трест,https://www.stroytrest.spb.ru,7804004544,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
"""Балтийская жемчужина""",https://bpearl.net,7801377058,,СЗФО,нет,Нет,https://bpearl.net/usloviya-pokupki/,https://bpearl.net/o-proekte/working-conditions/,Нет,Нет,Нет,Нет,Нет,Нет,,3
холдинг «СЕНАТОР»,https://senator.ru,7813635105,,СЗФО,нет,Нет,Нет,https://senator.ru/vakansii/,https://senator.ru/partneram/,Нет,Нет,Нет,Нет,Нет,,3
"""Сэтл Групп"" и Петербургской недвижимости",https://setlgroup.ru,7810245481,,СЗФО,нет,https://setlgroup.ru/sustainability/ecology,https://setlgroup.ru/customers,https://job.setlgroup.ru,нет,https://setlgroup.ru/about/structure,Нет,Нет,Нет,Нет,,5
АО «ЮИТ Санкт-Петербург»,Больше не работает в РФ,7814313164,,СЗФО,Больше не работает в РФ,Больше не работает в РФ,Больше не работает в РФ,Больше не работает в РФ,Больше не работает в РФ,Больше не работает в РФ,Больше не работает в РФ,Больше не работает в РФ,Больше не работает в РФ,Больше не работает в РФ,,0
Группа ЛСР,https://www.lsrgroup.ru,7838360491,,СЗФО,https://samolet.ru/investors/esg/,Нет,Нет,https://www.lsrgroup.ru/about/karera,Нет,https://www.lsrgroup.ru/obshhie-princzipyi/sovet-direktorov,https://www.lsrgroup.ru/about/missiya-i-videnie,Нет,Нет,https://www.lsrgroup.ru/raskryitie-informaczii/korporativnyie-dokumentyi,,5
ГК «Максимум Life Development»,https://maximum.life,7802784419,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
ГК “Ленстройтрест”,https://6543210.ru,7801082329,,СЗФО,нет,Нет,https://6543210.ru/privacy_policy/,Нет,Нет,https://6543210.ru/kompaniya/o-nas/,Нет,Нет,Нет,Нет,,3
ГК “СК ПСП”,http://sk-psp.ru,7810502379,,СЗФО,нет,Нет,Нет,http://sk-psp.ru/about/sout/,Нет,Нет,Нет,Нет,Нет,Нет,,2
Группа строительных компаний “Возрождение”,https://www.vozr.ru,7811062995,,СЗФО,нет,Нет,Нет,https://www.vozr.ru/Karera-v-kompanii/,Нет,https://www.vozr.ru/o-kompanii/menedzhment/,Нет,Нет,Нет,Нет,,3
ГК Becar,https://becar.ru,7811358625,,СЗФО,нет,Нет,Нет,https://becar.ru/vacancies/,Нет,https://becar.ru/about/team/,Нет,Нет,Нет,Нет,,3
ГК «БестЪ. Коммерческая недвижимость»,https://bestgroup.ru,7702712604,,СЗФО,нет,нет,нет,нет,нет,нет,Нет,Нет,нет,нет,,1
"ГК ""Еврострой""",https://esgroup.ru,9717119366,,СЗФО,нет,нет,нет,нет,https://esgroup.ru/our-tenders/,https://esgroup.ru/team/,Нет,Нет,нет,нет,,3
Группа «Эталон»,https://etalongroup.ru/msk/,7814116230,,RAEX,нет,нет,https://etalongroup.ru/msk/actions/,нет,https://etalongroup.ru/contractors/,нет,нет,нет,нет,нет,,3
«Группа Компаний ПИК»,https://www.pik.ru,7713011336,*,RAEX,https://pik-group.ru/about/sustainable-development,нет,https://www.pik.ru/pages/social,https://job.pik.ru/,нет,нет,нет,нет,нет,нет,,4
“Эко Лэнд”,https://ekolendspb.ru,7839031482,,СЗФО,нет,https://ekolendspb.ru/,нет,нет,нет,нет,нет,нет,нет,https://ekolendspb.ru/raskrytie-informacii,,2
НЭО,https://spb-neo.ru,7804678913,,СЗФО,нет,https://spb-neo.ru/informatsiya-dlya-potrebiteley/dlya-fiz-lits/razdelnyy-sbor-otkhodov/,нет,https://spb-neo.ru/o-kompanii/okhrana-truda/,https://spb-neo.ru/informatsiya-dlya-potrebiteley/dlya-yur-lits/zaklyuchenie-dogovora-yur/,https://spb-neo.ru/o-kompanii/rucovodstvo/,https://spb-neo.ru/o-kompanii/tseli-i-zadachi-kompanii/,нет,нет,https://spb-neo.ru/dokumentatsiya/,,6
УКООЛО,https://uko-lenobl.ru,4704077078,,СЗФО,нет,https://uko-lenobl.ru/ekologicheski-otvetstvennyj-biznes,https://uko-lenobl.ru/potrebiteli/fizicheskim-litsam,нет,https://uko-lenobl.ru/potrebiteli/yuridicheskim-litsam,https://uko-lenobl.ru/kontakty-dlya-vzaimodejstviya/otdel-po-rabote-s-debitorskoj-zadolzhennostyu-yuridicheskih-lits,https://uko-lenobl.ru/o-kompanii,нет,нет,https://uko-lenobl.ru/emission в разработке,,6
ООО «Ресурс АТЭ»,https://r-ate.ru,7810900796,,СЗФО,нет,https://r-ate.ru/tpost/41rusfv6y1-k-resursam-berezhno-vpervie-v-pushkine-s,нет,нет,нет,нет,нет,нет,нет,нет,,2
АО Автопарк № 1 “Спецтранс”,https://spest1.ru,7830002705,,СЗФО,нет,нет,нет,нет,https://spest1.ru/o-kompanii/zakupki,https://spest1.ru/o-kompanii/menedzhment,https://spest1.ru/o-kompanii,нет,нет,https://spest1.ru/aktsioneram-i-investoram/raskrytie-informatsii,,4
АО Автопарк № 6 “Спецтранс”,https://www.sp6.ru,7830000440,,СЗФО,нет,https://www.sp6.ru/ekologicheskoe-soprovozhdenie/,нет,нет,нет,нет,https://www.sp6.ru/about/,нет,нет,Нет,,3
“Активный компонент”,https://acticomp.ru,7817041279,,СЗФО,нет,нет,нет,https://acticomp.ru/career/,нет,нет,https://acticomp.ru/about-us/,нет,нет,Нет,,3
ГЕРОФАРМ,https://geropharm.ru,7826043970,,СЗФО,нет,Нет,https://geropharm.ru/about/sotsialnaya-otvetstvennost,https://geropharm.ru/career,https://geropharm.ru/partneram/contractors,Нет,https://geropharm.ru/about#our-mission,Нет,Нет,Нет,,5
БИОКАД,https://biocad.ru,5024048000,,СЗФО,https://biocad.ru/social,https://biocad.ru/social,https://biocad.ru/patients,https://career.biocad.ru/advantages-conditions,https://biocad.ru/user-agreement/kommercheskay_politika,нет,https://biocad.ru/we,нет,https://biocad.ru/user-agreement/anti-corruption_policy,нет,,8
ПОЛИСАН,https://www.polysan.ru,7805023934,,СЗФО,нет,нет,https://www.polysan.ru/farmakonadzor.htm,нет,нет,нет,https://www.polysan.ru/about.htm,нет,Нет,нет,,3
ВЕРТЕКС,https://vertex.spb.ru,7810180435,,СЗФО,нет,нет,нет,https://vertex.spb.ru/career/social-guarantees/,нет,нет,https://vertex.spb.ru/company/,нет,Нет,нет,,3
“Юникосметик” (бренд Estel),https://estel.pro/about/zavod-estel,7826704356,,СЗФО,нет,нет,нет,нет,нет,нет,https://estel.pro/about/zavod-estel,нет,Нет,нет,,2
Цитомед,https://cytomed.ru,4700000042,,СЗФО,нет,нет,https://cytomed.ru/pharmacovigilance/,нет,нет,нет,https://cytomed.ru/,нет,Нет,нет,,3
ТГК-1,https://www.tgc1.ru,7841312071,,СЗФО,https://www.tgc1.ru/sustainability/,https://www.tgc1.ru/sustainability/environment/,https://www.tgc1.ru/sustainability/social/,https://www.tgc1.ru/about/safety/labor/,https://www.tgc1.ru/tenders/program/,https://www.tgc1.ru/about/governance/,https://www.tgc1.ru/about/mission/,нет,нет,https://www.tgc1.ru/about/,,8
“Россети Ленэнерго”,https://rosseti-lenenergo.ru,7803002209,,СЗФО,https://rosseti-lenenergo.ru/sustainable_development/,нет,https://rosseti-lenenergo.ru/about/osnovnay_deiatelnost/electrosafety/,https://rosseti-lenenergo.ru/about/personal_hr/Socialnaya_otvetstvennost/,https://rosseti-lenenergo.ru/tenders/,нет,https://rosseti-lenenergo.ru/about/,нет,https://rosseti-lenenergo.ru/about/corruption/,https://rosseti-lenenergo.ru/shareholders/open_info/,,7
“Ленсвет”,https://lensvet.spb.ru,7838087330,,СЗФО,нет,нет,нет,нет,https://lensvet.spb.ru/zakupki/,https://lensvet.spb.ru/management/,https://lensvet.spb.ru/missiya_i_cennosti/,нет,https://lensvet.spb.ru/protivodeystvie_korrupcii/,нет,,5
АО “ЛОЭСК,https://loesk.ru,4703074613,,СЗФО,нет,нет,нет,нет,https://loesk.ru/pages/80/,https://loesk.ru/pages/29/,https://loesk.ru/pages/35/,https://loesk.ru/pages/98/,https://loesk.ru/pages/153/,https://loesk.ru/pages/13/,,6
ГУП “ТЭК СПБ”,https://gptek.spb.ru,7830001028,,СЗФО,нет,нет,https://gptek.spb.ru/citizens/,https://gptek.spb.ru/career/,https://gptek.spb.ru/about/zakupki/,https://gptek.spb.ru/about/management/,https://gptek.spb.ru/about/mission/,нет,https://gptek.spb.ru/about/protivodeystvie-korrupcii/,нет,,7
"АО ""Концерн Росэнергоатом"" ""Ленинградская атомная станция""",https://www.rosenergoatom.ru/stations_projects/sayt-leningradskoy-aes/partneram/index.php?ELEMENT_ID=19030,7721632827,,СЗФО,нет,https://www.rosenergoatom.ru/stations_projects/sayt-leningradskoy-aes/bezopasnost-i-ekologiya/,https://www.rosenergoatom.ru/stations_projects/sayt-leningradskoy-aes/informatsiya-dlya-naseleniya/,https://www.rosenergoatom.ru/stations_projects/sayt-leningradskoy-aes/sotsialnaya-otvetstvennost/,нет,https://www.rosenergoatom.ru/stations_projects/sayt-leningradskoy-aes/rukovodstvo/,нет,нет,нет,https://www.rosenergoatom.ru/stations_projects/sayt-leningradskoy-aes/soobshcheniya-o-raskrytii-informatsii/,,5
"""Архангельск СПГ"" (строится)",none,5190097702,,СЗФО,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,,0
